questao1,questao2,questao3,questao4,questao5,questao6,questao7,questao8,questao9,questao10,Semestre,Turma
1,2,1,2,1,4,3,2,1,3,7,b
1,4,1,5,3,3,1,1,3,1,7,b
1,2,1,2,2,4,2,2,2,1,7,b
1,2,1,2,2,4,2,2,2,1,7,b
1,2,2,2,2,2,2,1,2,1,7,b
2,2,1,2,2,5,5,1,2,1,7,b
2,3,2,1,1,5,1,1,1,1,7,b
2,2,1,4,2,2,4,2,1,2,7,b
1,1,1,3,3,3,3,3,3,3,7,b
1,4,1,1,1,1,2,1,1,1,7,b
1,2,1,2,2,4,1,1,3,1,7,b
2,3,2,3,1,4,1,1,1,1,7,b
2,1,1,2,1,4,1,1,1,1,7,b
,,,2,,2,1,1,2,,7,b
2,3,,2,2,1,1,1,1,,7,b
2,,,4,2,4,,,2,1,7,b
1,1,,3,2,5,2,2,4,2,7,b
2,2,2,2,2,4,2,1,3,1,7,b
1,2,1,2,1,5,2,1,3,1,7,b
2,1,1,5,5,5,5,2,5,1,7,b
1,3,1,5,4,5,2,1,2,2,7,b
2,1,1,5,1,5,3,1,3,1,7,b
2,3,1,2,1,,,,,,7,b
2,2,1,2,1,5,1,1,2,2,7,b
1,3,2,2,2,2,4,1,4,4,7,b
